(1000, 128, 1) (1000, 128)
param count: 26177
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(128, 1) (128, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
(2, 10, 1, 1)
epoch=84, train_loss: 0.009, train_l2: 2.115, test_l2: 1.035
epoch=85, train_loss: 0.010, train_l2: 2.413, test_l2: 1.770
epoch=86, train_loss: 0.015, train_l2: 3.043, test_l2: 2.492
epoch=87, train_loss: 0.007, train_l2: 2.003, test_l2: 1.288
epoch=88, train_loss: 0.008, train_l2: 2.107, test_l2: 1.068
epoch=89, train_loss: 0.010, train_l2: 2.571, test_l2: 1.241
epoch=90, train_loss: 0.009, train_l2: 2.436, test_l2: 1.325
epoch=91, train_loss: 0.009, train_l2: 2.483, test_l2: 1.314
epoch=92, train_loss: 0.010, train_l2: 2.568, test_l2: 1.261
epoch=93, train_loss: 0.010, train_l2: 2.589, test_l2: 1.233
epoch=94, train_loss: 0.010, train_l2: 2.445, test_l2: 1.394
epoch=95, train_loss: 0.014, train_l2: 2.928, test_l2: 1.446
epoch=96, train_loss: 0.015, train_l2: 3.079, test_l2: 2.050
epoch=97, train_loss: 0.010, train_l2: 2.489, test_l2: 1.781
epoch=98, train_loss: 0.010, train_l2: 2.666, test_l2: 1.735
epoch=99, train_loss: 0.009, train_l2: 2.389, test_l2: 1.630
epoch=100, train_loss: 0.009, train_l2: 2.305, test_l2: 1.508
epoch=101, train_loss: 0.008, train_l2: 2.198, test_l2: 1.534
epoch=102, train_loss: 0.009, train_l2: 2.453, test_l2: 1.817
epoch=103, train_loss: 0.008, train_l2: 1.861, test_l2: 2.059
epoch=104, train_loss: 0.005, train_l2: 1.343, test_l2: 1.427
epoch=105, train_loss: 0.005, train_l2: 1.764, test_l2: 2.034
epoch=106, train_loss: 0.008, train_l2: 2.234, test_l2: 2.184
epoch=107, train_loss: 0.005, train_l2: 1.768, test_l2: 1.570
epoch=108, train_loss: 0.006, train_l2: 1.839, test_l2: 1.556
epoch=109, train_loss: 0.006, train_l2: 1.924, test_l2: 1.465
epoch=110, train_loss: 0.005, train_l2: 1.708, test_l2: 1.305
epoch=111, train_loss: 0.004, train_l2: 1.597, test_l2: 1.354
epoch=112, train_loss: 0.004, train_l2: 1.563, test_l2: 1.279
epoch=113, train_loss: 0.004, train_l2: 1.550, test_l2: 1.129
epoch=114, train_loss: 0.003, train_l2: 1.332, test_l2: 1.066
epoch=115, train_loss: 0.002, train_l2: 1.136, test_l2: 1.121
epoch=116, train_loss: 0.003, train_l2: 1.408, test_l2: 1.432
epoch=117, train_loss: 0.016, train_l2: 3.304, test_l2: 2.165
epoch=118, train_loss: 0.014, train_l2: 3.231, test_l2: 2.960
epoch=119, train_loss: 0.015, train_l2: 3.175, test_l2: 2.214
epoch=120, train_loss: 0.006, train_l2: 1.870, test_l2: 1.621
epoch=121, train_loss: 0.005, train_l2: 1.591, test_l2: 1.345
epoch=122, train_loss: 0.005, train_l2: 1.718, test_l2: 1.243
epoch=123, train_loss: 0.006, train_l2: 1.839, test_l2: 1.191
epoch=124, train_loss: 0.005, train_l2: 1.650, test_l2: 1.061
epoch=125, train_loss: 0.004, train_l2: 1.594, test_l2: 0.951
epoch=126, train_loss: 0.005, train_l2: 1.677, test_l2: 0.894
epoch=127, train_loss: 0.005, train_l2: 1.637, test_l2: 0.875
epoch=128, train_loss: 0.004, train_l2: 1.479, test_l2: 0.953
epoch=129, train_loss: 0.003, train_l2: 1.346, test_l2: 1.151
epoch=130, train_loss: 0.003, train_l2: 1.362, test_l2: 1.137
epoch=131, train_loss: 0.004, train_l2: 1.532, test_l2: 1.076
epoch=132, train_loss: 0.004, train_l2: 1.478, test_l2: 1.017
epoch=133, train_loss: 0.003, train_l2: 1.222, test_l2: 0.995
